0,0,10000000,00000000,00000000
1,0,0c000000,00000000,00000000
2,0,d0000000,00000000,00000000
3,0,4c000000,00000000,00000000
4,0,1c000000,00000000,00000000
5,0,00000000,00000000,00000000
6,0,54000000,00000000,00000000
7,0,50000000,00000000,00000000
8,0,54000000,00000000,00000000
0,1,00000000,00000000,00000000
1,1,5c000000,00000000,00000000
2,1,5c000000,00000000,00000000
3,1,50000000,00000000,00000000
4,1,40000000,00000000,00000000
5,1,04000000,00000000,00000000
6,1,7c000000,00000000,00000000
7,1,74000000,00000000,00000000
8,1,c0000000,00000000,00000000
0,2,04000000,00000000,00000000
1,2,f0000000,00000000,00000000
2,2,10000000,00000000,00000000
3,2,04000000,00000000,00000000
4,2,0c000000,00000000,00000000
5,2,d0000000,00000000,00000000
6,2,fc000000,00000000,00000000
7,2,c0000000,00000000,00000000
8,2,30000000,00000000,00000000
0,3,5c000000,00000000,00000000
1,3,4c000000,00000000,00000000
2,3,00000000,00000000,00000000
3,3,d0000000,00000000,00000000
4,3,50000000,00000000,00000000
5,3,54000000,00000000,00000000
6,3,34000000,00000000,00000000
7,3,4c000000,00000000,00000000
8,3,d0000000,00000000,00000000
0,4,10000000,00000000,00000000
1,4,74000000,00000000,00000000
2,4,dc000000,00000000,00000000
3,4,0c000000,00000000,00000000
4,4,cc000000,00000000,00000000
5,4,7c000000,00000000,00000000
6,4,70000000,00000000,00000000
7,4,10000000,00000000,00000000
8,4,10000000,00000000,00000000
0,5,14000000,00000000,00000000
1,5,70000000,00000000,00000000
2,5,dc000000,00000000,00000000
3,5,74000000,00000000,00000000
4,5,1c000000,00000000,00000000
5,5,00000000,00000000,00000000
6,5,54000000,00000000,00000000
7,5,70000000,00000000,00000000
8,5,f4000000,00000000,00000000
0,6,c4000000,00000000,00000000
1,6,40000000,00000000,00000000
2,6,c0000000,00000000,00000000
3,6,7c000000,00000000,00000000
4,6,0c000000,00000000,00000000
5,6,30000000,00000000,00000000
6,6,34000000,00000000,00000000
7,6,5c000000,00000000,00000000
8,6,3c000000,00000000,00000000
0,7,74000000,00000000,00000000
1,7,f4000000,00000000,00000000
2,7,fc000000,00000000,00000000
3,7,04000000,00000000,00000000
4,7,44000000,00000000,00000000
5,7,4c000000,00000000,00000000
6,7,f0000000,00000000,00000000
7,7,74000000,00000000,00000000
8,7,44000000,00000000,00000000
0,8,10000000,00000000,00000000
1,8,70000000,00000000,00000000
2,8,f0000000,00000000,00000000
3,8,50000000,00000000,00000000
4,8,10000000,00000000,00000000
5,8,5c000000,00000000,00000000
6,8,f0000000,00000000,00000000
7,8,f0000000,00000000,00000000
8,8,3c000000,00000000,00000000
0,9,f0000000,00000000,00000000
1,9,dc000000,00000000,00000000
2,9,70000000,00000000,00000000
3,9,c4000000,00000000,00000000
4,9,10000000,00000000,00000000
